Universidad,Licenciatura,Integridad Académica
Universidad Autónoma de San Luis Potosí,Diseño Gráfico,Moderada Integridad
Universidad Autónoma de Guadalajara,Ciencias de la Computación,Baja Integridad
Universidad Autónoma de Guadalajara,Nutrición,Baja Integridad
Universidad Autónoma del Estado de México,Contaduría,Moderada Integridad
Universidad Autónoma de Guadalajara,Ciencias Políticas,Alta Integridad
Universidad Autónoma de Yucatán,Psicología,Alta Integridad
Universidad Nacional Autónoma de México,Contaduría,Alta Integridad
Universidad Autónoma de Querétaro,Medicina,Moderada Integridad
Universidad Autónoma de Baja California,Arquitectura,Alta Integridad
Universidad Autónoma de Querétaro,Filosofía,Alta Integridad
Universidad Autónoma de Nuevo León,Economía,Baja Integridad
Universidad Autónoma de Baja California,Filosofía,Baja Integridad
Universidad Autónoma de Querétaro,Filosofía,Moderada Integridad
Universidad Autónoma de Nuevo León,Contaduría,Baja Integridad
Universidad Autónoma de San Luis Potosí,Ciencias Políticas,Baja Integridad
Universidad Autónoma de Guadalajara,Sociología,Alta Integridad
Universidad Autónoma del Estado de México,Sociología,Baja Integridad
Universidad Autónoma de Chihuahua,Filosofía,Baja Integridad
Universidad Autónoma de Nuevo León,Filosofía,Moderada Integridad
Universidad Autónoma de Chihuahua,Economía,Alta Integridad
Universidad Autónoma de Nuevo León,Matemáticas,Baja Integridad
Universidad Nacional Autónoma de México,Ciencias Políticas,Alta Integridad
Universidad Autónoma Metropolitana,Psicología,Moderada Integridad
Universidad Autónoma de San Luis Potosí,Ciencias de la Computación,Moderada Integridad
Universidad Autónoma de Nuevo León,Ciencias de la Computación,Baja Integridad
Universidad Autónoma de Guadalajara,Historia,Alta Integridad
Universidad Nacional Autónoma de México,Derecho,Baja Integridad
Universidad Autónoma de Guadalajara,Psicología,Moderada Integridad
Universidad Autónoma Metropolitana,Medicina,Moderada Integridad
Universidad Autónoma de Baja California,Ingeniería Civil,Alta Integridad
Universidad Autónoma de Yucatán,Historia,Alta Integridad
Universidad Autónoma de Nuevo León,Biología,Moderada Integridad
Universidad Autónoma de Baja California,Biología,Baja Integridad
Universidad Autónoma de Yucatán,Medicina,Baja Integridad
Universidad Autónoma de San Luis Potosí,Relaciones Internacionales,Moderada Integridad
Universidad Autónoma de Nuevo León,Ciencias de la Computación,Moderada Integridad
Universidad Autónoma de Chihuahua,Pedagogía,Moderada Integridad
Universidad Autónoma de San Luis Potosí,Medicina,Alta Integridad
Universidad Autónoma de Querétaro,Derecho,Baja Integridad
Universidad Autónoma de Querétaro,Sociología,Alta Integridad
Universidad Autónoma de Nuevo León,Matemáticas,Moderada Integridad
Universidad Autónoma de Guadalajara,Contaduría,Alta Integridad
Universidad Autónoma de Chihuahua,Biología,Baja Integridad
Universidad Autónoma de Chihuahua,Arquitectura,Alta Integridad
Universidad Autónoma de Chihuahua,Diseño Gráfico,Baja Integridad
Universidad Autónoma de Chihuahua,Medicina,Moderada Integridad
Universidad Autónoma de Chihuahua,Ciencias de la Computación,Moderada Integridad
Universidad Autónoma de Nuevo León,Relaciones Internacionales,Alta Integridad
Universidad Autónoma de San Luis Potosí,Contaduría,Moderada Integridad
Universidad Nacional Autónoma de México,Sociología,Alta Integridad
Universidad Autónoma de Chihuahua,Filosofía,Moderada Integridad
Universidad Autónoma Metropolitana,Ciencias Políticas,Baja Integridad
Universidad Nacional Autónoma de México,Derecho,Alta Integridad
Universidad Autónoma de Querétaro,Derecho,Alta Integridad
Universidad Autónoma de Guadalajara,Economía,Baja Integridad
Universidad Autónoma de Querétaro,Sociología,Baja Integridad
Universidad Autónoma del Estado de México,Derecho,Moderada Integridad
Universidad Autónoma de Yucatán,Derecho,Moderada Integridad
Universidad Autónoma de Chihuahua,Ingeniería Civil,Moderada Integridad
Universidad Autónoma de San Luis Potosí,Ciencias Políticas,Moderada Integridad
Universidad Autónoma de Querétaro,Arquitectura,Moderada Integridad
Universidad Nacional Autónoma de México,Biología,Alta Integridad
Universidad Autónoma de Guadalajara,Historia,Alta Integridad
Universidad Autónoma de Querétaro,Pedagogía,Moderada Integridad
Universidad Autónoma Metropolitana,Ciencias de la Computación,Moderada Integridad
Universidad Autónoma de Baja California,Relaciones Internacionales,Alta Integridad
Universidad Autónoma de Yucatán,Sociología,Moderada Integridad
Universidad Autónoma de Chihuahua,Economía,Moderada Integridad
Universidad Autónoma de Querétaro,Ciencias de la Computación,Baja Integridad
Universidad Autónoma de Yucatán,Arquitectura,Baja Integridad
Universidad Autónoma del Estado de México,Ciencias de la Computación,Baja Integridad
Universidad Autónoma Metropolitana,Ingeniería Civil,Moderada Integridad
Universidad Autónoma de Guadalajara,Ciencias de la Computación,Moderada Integridad
Universidad Autónoma de Nuevo León,Ingeniería Civil,Baja Integridad
Universidad Autónoma de San Luis Potosí,Sociología,Moderada Integridad
Universidad Autónoma de Guadalajara,Diseño Gráfico,Baja Integridad
Universidad Autónoma del Estado de México,Ciencias de la Computación,Baja Integridad
Universidad Autónoma de Yucatán,Arquitectura,Alta Integridad
Universidad Autónoma de Yucatán,Ingeniería Civil,Moderada Integridad
Universidad Autónoma de Yucatán,Derecho,Alta Integridad
Universidad Autónoma Metropolitana,Matemáticas,Baja Integridad
Universidad Autónoma de Yucatán,Biología,Moderada Integridad
Universidad Autónoma de Baja California,Pedagogía,Moderada Integridad
Universidad Autónoma Metropolitana,Contaduría,Moderada Integridad
Universidad Autónoma de Chihuahua,Matemáticas,Baja Integridad
Universidad Autónoma de San Luis Potosí,Economía,Baja Integridad
Universidad Autónoma de Chihuahua,Medicina,Moderada Integridad
Universidad Autónoma del Estado de México,Ciencias Políticas,Alta Integridad
Universidad Autónoma de Baja California,Ingeniería Civil,Alta Integridad
Universidad Autónoma Metropolitana,Nutrición,Alta Integridad
Universidad Autónoma del Estado de México,Relaciones Internacionales,Alta Integridad
Universidad Nacional Autónoma de México,Relaciones Internacionales,Baja Integridad
Universidad Autónoma de Yucatán,Relaciones Internacionales,Alta Integridad
Universidad Autónoma de Chihuahua,Filosofía,Moderada Integridad
Universidad Autónoma de Yucatán,Comunicación,Baja Integridad
Universidad Autónoma de Querétaro,Filosofía,Baja Integridad
Universidad Autónoma de Yucatán,Arquitectura,Moderada Integridad
Universidad Autónoma de San Luis Potosí,Ciencias Políticas,Baja Integridad
Universidad Autónoma de Baja California,Biología,Baja Integridad
Universidad Autónoma de San Luis Potosí,Biología,Moderada Integridad
Universidad Autónoma del Estado de México,Diseño Gráfico,Alta Integridad
Universidad Autónoma de Querétaro,Psicología,Baja Integridad
Universidad Autónoma del Estado de México,Ingeniería Civil,Alta Integridad
Universidad Autónoma Metropolitana,Comunicación,Moderada Integridad
Universidad Autónoma de San Luis Potosí,Economía,Baja Integridad
Universidad Autónoma Metropolitana,Historia,Moderada Integridad
Universidad Autónoma de Querétaro,Relaciones Internacionales,Baja Integridad
Universidad Autónoma Metropolitana,Sociología,Alta Integridad
Universidad Autónoma de Querétaro,Derecho,Alta Integridad
Universidad Autónoma del Estado de México,Ciencias Políticas,Moderada Integridad
Universidad Autónoma del Estado de México,Pedagogía,Alta Integridad
Universidad Nacional Autónoma de México,Psicología,Moderada Integridad
Universidad Autónoma del Estado de México,Psicología,Alta Integridad
Universidad Autónoma de Baja California,Ingeniería Civil,Alta Integridad
Universidad Autónoma de Guadalajara,Matemáticas,Baja Integridad
Universidad Autónoma de Baja California,Contaduría,Moderada Integridad
Universidad Autónoma de Yucatán,Historia,Moderada Integridad
Universidad Autónoma de Querétaro,Ciencias de la Computación,Alta Integridad
Universidad Autónoma del Estado de México,Comunicación,Moderada Integridad
Universidad Autónoma de Querétaro,Pedagogía,Alta Integridad
Universidad Autónoma de Yucatán,Diseño Gráfico,Baja Integridad
Universidad Autónoma de Chihuahua,Nutrición,Alta Integridad
Universidad Autónoma del Estado de México,Matemáticas,Baja Integridad
Universidad Autónoma de Guadalajara,Relaciones Internacionales,Moderada Integridad
Universidad Autónoma de Yucatán,Ciencias Políticas,Baja Integridad
Universidad Autónoma de Chihuahua,Matemáticas,Moderada Integridad
Universidad Autónoma de Baja California,Comunicación,Moderada Integridad
Universidad Autónoma del Estado de México,Relaciones Internacionales,Moderada Integridad
Universidad Autónoma de Chihuahua,Derecho,Baja Integridad
Universidad Autónoma de Yucatán,Economía,Alta Integridad
Universidad Nacional Autónoma de México,Administración,Baja Integridad
Universidad Autónoma de San Luis Potosí,Nutrición,Moderada Integridad
Universidad Autónoma de Nuevo León,Derecho,Alta Integridad
Universidad Autónoma de San Luis Potosí,Nutrición,Alta Integridad
Universidad Autónoma Metropolitana,Arquitectura,Alta Integridad
Universidad Autónoma de Guadalajara,Comunicación,Baja Integridad
Universidad Autónoma de Yucatán,Historia,Moderada Integridad
Universidad Autónoma de Chihuahua,Matemáticas,Alta Integridad
Universidad Autónoma Metropolitana,Economía,Moderada Integridad
Universidad Autónoma de Guadalajara,Diseño Gráfico,Alta Integridad
Universidad Autónoma de Guadalajara,Economía,Moderada Integridad
Universidad Autónoma de Yucatán,Relaciones Internacionales,Moderada Integridad
Universidad Autónoma de Guadalajara,Diseño Gráfico,Alta Integridad
Universidad Autónoma del Estado de México,Comunicación,Moderada Integridad
Universidad Autónoma del Estado de México,Ciencias Políticas,Alta Integridad
Universidad Autónoma Metropolitana,Arquitectura,Moderada Integridad
Universidad Autónoma de Guadalajara,Ingeniería Civil,Baja Integridad
Universidad Autónoma del Estado de México,Contaduría,Moderada Integridad
Universidad Autónoma de Yucatán,Relaciones Internacionales,Baja Integridad
Universidad Autónoma de Baja California,Arquitectura,Baja Integridad
Universidad Autónoma del Estado de México,Economía,Moderada Integridad
Universidad Autónoma de Yucatán,Relaciones Internacionales,Moderada Integridad
Universidad Autónoma de Baja California,Comunicación,Alta Integridad
Universidad Nacional Autónoma de México,Nutrición,Baja Integridad
Universidad Autónoma de San Luis Potosí,Medicina,Baja Integridad
Universidad Autónoma de Guadalajara,Economía,Moderada Integridad
Universidad Autónoma de Baja California,Nutrición,Alta Integridad
Universidad Autónoma de Chihuahua,Pedagogía,Alta Integridad
Universidad Autónoma Metropolitana,Medicina,Alta Integridad
Universidad Autónoma del Estado de México,Derecho,Alta Integridad
Universidad Autónoma Metropolitana,Biología,Baja Integridad
Universidad Autónoma de Guadalajara,Economía,Alta Integridad
Universidad Autónoma de Yucatán,Ciencias de la Computación,Baja Integridad
Universidad Autónoma de Querétaro,Psicología,Baja Integridad
Universidad Autónoma de Querétaro,Arquitectura,Baja Integridad
Universidad Nacional Autónoma de México,Biología,Moderada Integridad
Universidad Autónoma de Querétaro,Medicina,Baja Integridad
Universidad Autónoma de Baja California,Ciencias Políticas,Alta Integridad
Universidad Autónoma del Estado de México,Ingeniería Civil,Baja Integridad
Universidad Autónoma de Querétaro,Pedagogía,Baja Integridad
Universidad Autónoma de San Luis Potosí,Sociología,Alta Integridad
Universidad Autónoma de Yucatán,Comunicación,Moderada Integridad
Universidad Autónoma de Querétaro,Matemáticas,Moderada Integridad
Universidad Autónoma de Baja California,Administración,Moderada Integridad
Universidad Autónoma de San Luis Potosí,Matemáticas,Alta Integridad
Universidad Autónoma de Nuevo León,Medicina,Alta Integridad
Universidad Autónoma de Chihuahua,Historia,Baja Integridad
Universidad Autónoma de Yucatán,Filosofía,Baja Integridad
Universidad Autónoma Metropolitana,Administración,Baja Integridad
Universidad Autónoma de Baja California,Pedagogía,Alta Integridad
Universidad Autónoma de Chihuahua,Relaciones Internacionales,Baja Integridad
Universidad Autónoma del Estado de México,Ciencias Políticas,Baja Integridad
Universidad Autónoma de Chihuahua,Biología,Baja Integridad
Universidad Autónoma Metropolitana,Medicina,Alta Integridad
Universidad Autónoma de Yucatán,Matemáticas,Baja Integridad
Universidad Autónoma de Guadalajara,Derecho,Moderada Integridad
Universidad Autónoma de San Luis Potosí,Historia,Alta Integridad
Universidad Autónoma de Yucatán,Biología,Alta Integridad
Universidad Autónoma de Yucatán,Ingeniería Civil,Baja Integridad
Universidad Nacional Autónoma de México,Biología,Alta Integridad
Universidad Autónoma de Guadalajara,Derecho,Moderada Integridad
Universidad Autónoma de Nuevo León,Filosofía,Alta Integridad
Universidad Autónoma de Yucatán,Contaduría,Moderada Integridad
Universidad Autónoma de San Luis Potosí,Relaciones Internacionales,Alta Integridad
Universidad Autónoma de Baja California,Ciencias de la Computación,Baja Integridad
Universidad Autónoma de Guadalajara,Psicología,Baja Integridad
Universidad Autónoma de San Luis Potosí,Psicología,Alta Integridad
Universidad Autónoma de Nuevo León,Contaduría,Baja Integridad
Universidad Autónoma Metropolitana,Ciencias Políticas,Baja Integridad
